Feature Set,Oversampling Method,Classifier,Best Params,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,Test Balanced Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC
AllFeatures,SMOTETomek,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 95}",0.7796763720150816,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5,0.5,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5
ANOVA,ADASYN,LogisticRegression,"{'classifier__C': 0.6291018519581948, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.75898515147092,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5277777777777778,0.5277777777777778,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5277777777777778
ANOVA,SMOTE,LogisticRegression,"{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7865172461946657,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5277777777777778,0.5277777777777778,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5277777777777778
LASSO,SMOTE,LogisticRegression,"{'classifier__C': 0.6291018519581948, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7751149425287356,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5277777777777778,0.5277777777777778,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5277777777777778
LASSO,RandomOversampling,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 124}",0.7432049272566514,0.6363636363636364,0.7777777777777778,0.7,0.4444444444444445,0.4444444444444444,0.6363636363636364,0.7777777777777778,0.7,0.4444444444444445
mRMR_RF,ADASYN,LogisticRegression,"{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7009786535303777,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.7222222222222222,0.7222222222222222,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.7222222222222222
RF,SMOTETomek,GXBoost,"{'classifier__colsample_bytree': 0.7962309446846936, 'classifier__learning_rate': 0.1609916953366266, 'classifier__max_depth': 9, 'classifier__n_estimators': 159, 'classifier__subsample': 0.7740823466074949}",0.8009381168001859,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
RF,RandomOversampling,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 156}",0.8368392518297642,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
RF,RandomOversampling,KNN,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.792787226296354,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_MIQ,SMOTE,RandomForest,"{'classifier__bootstrap': True, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 144}",0.8105247963726339,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_MIQ,ADASYN,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 156}",0.8055909671426914,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_MIQ,ADASYN,GXBoost,"{'classifier__colsample_bytree': 0.9768347139286494, 'classifier__learning_rate': 0.1488394929008872, 'classifier__max_depth': 6, 'classifier__n_estimators': 166, 'classifier__subsample': 0.6398005899074617}",0.8062922369930157,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_MIQ,RandomOversampling,RandomForest,"{'classifier__bootstrap': True, 'classifier__max_depth': 14, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 112}",0.7885101092717399,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_MIQ,RandomOversampling,GXBoost,"{'classifier__colsample_bytree': 0.811162154594376, 'classifier__learning_rate': 0.1946700773740037, 'classifier__max_depth': 9, 'classifier__n_estimators': 109, 'classifier__subsample': 0.625607350463514}",0.835050709939148,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_RF,ADASYN,RandomForest,"{'classifier__bootstrap': True, 'classifier__max_depth': 14, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 56}",0.7669653524492235,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_RF,ADASYN,GXBoost,"{'classifier__colsample_bytree': 0.8344811964306701, 'classifier__learning_rate': 0.03224407396351247, 'classifier__max_depth': 7, 'classifier__n_estimators': 133, 'classifier__subsample': 0.6894150195855671}",0.7653762116637534,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
mRMR_RF,RandomOversampling,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 156}",0.8158410138248848,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
LASSO,SMOTETomek,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 101}",0.7581753359728888,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
LASSO,SMOTE,GXBoost,"{'classifier__colsample_bytree': 0.6630020416550897, 'classifier__learning_rate': 0.0180212584437402, 'classifier__max_depth': 3, 'classifier__n_estimators': 79, 'classifier__subsample': 0.6573885942617765}",0.6986243386243385,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
AllFeatures,SMOTE,RandomForest,"{'classifier__bootstrap': True, 'classifier__max_depth': 11, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 140}",0.7599422759294839,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
