Feature Set;Oversampling Method;Classifier;Best Params;ROC-AUC;Test Balanced Accuracy;Test Precision;Test Recall;Test F1-Score;Test ROC-AUC
mRMR_RF;RandomOverSampler;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 156};0.672;0.5;0.667;1;0.8;0.5
mRMR_RF;ADASYN;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 200, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'logistic'};0.62;0.5;0.667;1;0.8;0.481
mRMR_RF;ADASYN;XGBoost;{'classifier__colsample_bytree': 0.8067428516554398, 'classifier__learning_rate': 0.0761689877463238, 'classifier__max_depth': 3, 'classifier__n_estimators': 57, 'classifier__subsample': 0.7415297341082886};0.628;0.5;0.667;1;0.8;0.605
mRMR_RF;ADASYN;SVM;{'classifier__C': 0.6291018519581948, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'};0.63;0.5;0.667;1;0.8;0.537
mRMR_RF;ADASYN;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'};0.555;0.5;0.667;1;0.8;0.398
mRMR_RF;ADASYN;LogisticRegression;{'classifier__C': 4.748457034082185, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'};0.614;0.5;0.667;1;0.8;0.586
mRMR_RF;SMOTETomek;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 100, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.595;0.5;0.667;1;0.8;0.503
mRMR_RF;SMOTETomek;XGBoost;{'classifier__colsample_bytree': 0.7683625608788813, 'classifier__learning_rate': 0.14634254272586836, 'classifier__max_depth': 6, 'classifier__n_estimators': 56, 'classifier__subsample': 0.9395386877900341};0.63;0.5;0.667;1;0.8;0.5
mRMR_RF;SMOTETomek;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 14, 'classifier__weights': 'distance'};0.562;0.5;0.667;1;0.8;0.386
mRMR_RF;SMOTETomek;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 6, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 97};0.636;0.5;0.667;1;0.8;0.488
mRMR_RF;SMOTE;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 300, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.649;0.5;0.667;1;0.8;0.543
mRMR_RF;SMOTE;XGBoost;{'classifier__colsample_bytree': 0.9185265550001287, 'classifier__learning_rate': 0.1232970992844789, 'classifier__max_depth': 8, 'classifier__n_estimators': 80, 'classifier__subsample': 0.652033879189418};0.634;0.5;0.667;1;0.8;0.543
mRMR_RF;SMOTE;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 14, 'classifier__weights': 'distance'};0.562;0.5;0.667;1;0.8;0.414
mRMR_RF;SMOTE;LogisticRegression;{'classifier__C': 4.501513149317164, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.571;0.5;0.667;1;0.8;0.414
mRMR_RF;SMOTE;RandomForest;{'classifier__bootstrap': False, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 124};0.635;0.5;0.667;1;0.8;0.463
mRMR_MIQ;RandomOverSampler;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 200, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.634;0.5;0.667;1;0.8;0.448
mRMR_MIQ;RandomOverSampler;XGBoost;{'classifier__colsample_bytree': 0.811162154594376, 'classifier__learning_rate': 0.1946700773740037, 'classifier__max_depth': 9, 'classifier__n_estimators': 109, 'classifier__subsample': 0.625607350463514};0.712;0.5;0.667;1;0.8;0.401
mRMR_MIQ;RandomOverSampler;SVM;{'classifier__C': 9.619097422366776, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'};0.665;0.5;0.667;1;0.8;0.444
mRMR_MIQ;RandomOverSampler;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'};0.628;0.5;0.667;1;0.8;0.438
mRMR_MIQ;RandomOverSampler;LogisticRegression;{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'};0.533;0.5;0.667;1;0.8;0.432
mRMR_MIQ;RandomOverSampler;RandomForest;{'classifier__bootstrap': True, 'classifier__max_depth': 13, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 77};0.648;0.5;0.667;1;0.8;0.435
mRMR_MIQ;ADASYN;MLPC;{'classifier__solver': 'lbfgs', 'classifier__max_iter': 200, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (50, 30), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.628;0.5;0.667;1;0.8;0.38
mRMR_MIQ;ADASYN;XGBoost;{'classifier__colsample_bytree': 0.9768347139286494, 'classifier__learning_rate': 0.1488394929008872, 'classifier__max_depth': 6, 'classifier__n_estimators': 166, 'classifier__subsample': 0.6398005899074617};0.698;0.5;0.667;1;0.8;0.432
